m	n	topk	coop_g	us	stddev_pct	path
1	327680	2048	64	26.50	0.062	decode
2	327680	2048	1	89.20	0.044	prefill
2	327680	2048	2	58.20	0.039	decode
2	327680	2048	4	42.00	0.055	decode
2	327680	2048	8	33.30	0.069	decode
2	327680	2048	16	29.20	0.054	decode
2	327680	2048	32	27.50	0.084	decode
2	327680	2048	64	27.20	0.085	decode
4	327680	2048	1	89.10	0.077	prefill
4	327680	2048	2	59.80	0.091	decode
4	327680	2048	4	42.60	0.158	decode
4	327680	2048	8	33.40	0.085	decode
4	327680	2048	16	29.60	0.096	decode
4	327680	2048	32	28.50	0.081	decode
4	327680	2048	64	29.10	0.112	decode
8	327680	2048	1	89.30	0.058	prefill
8	327680	2048	2	59.90	0.089	decode
8	327680	2048	4	42.80	0.121	decode
8	327680	2048	8	33.70	0.194	decode
8	327680	2048	16	30.60	0.141	decode
8	327680	2048	32	30.00	0.094	decode
8	327680	2048	64	32.00	0.101	decode
16	327680	2048	1	89.70	0.031	prefill
16	327680	2048	2	60.20	0.038	decode
16	327680	2048	4	47.80	0.059	decode
16	327680	2048	8	34.80	0.114	decode
16	327680	2048	16	32.40	0.087	decode
16	327680	2048	32	33.70	0.084	decode
16	327680	2048	64	38.40	0.084	decode
32	327680	2048	1	116.10	0.037	prefill
32	327680	2048	2	73.00	0.022	decode
32	327680	2048	4	50.80	0.064	decode
32	327680	2048	8	39.00	0.059	decode
32	327680	2048	16	36.00	0.078	decode
32	327680	2048	32	40.20	0.069	decode
32	327680	2048	64	52.60	0.076	decode
64	327680	2048	1	117.10	0.031	prefill
64	327680	2048	2	73.60	0.032	decode
64	327680	2048	4	54.30	0.030	decode
64	327680	2048	8	41.00	0.098	decode
64	327680	2048	16	42.00	0.054	decode
64	327680	2048	32	50.70	0.111	decode
64	327680	2048	64	67.50	0.077	decode
128	327680	2048	1	118.00	0.024	prefill
128	327680	2048	2	74.90	0.057	decode
128	327680	2048	4	58.20	0.027	decode
128	327680	2048	8	50.90	0.045	decode
128	327680	2048	16	54.90	0.030	decode
128	327680	2048	32	65.40	0.056	decode
128	327680	2048	64	91.70	0.137	decode
256	327680	2048	1	153.70	0.111	prefill
256	327680	2048	2	112.40	0.169	decode
256	327680	2048	4	87.30	0.217	decode
256	327680	2048	8	86.60	0.206	decode
256	327680	2048	16	94.80	0.154	decode
256	327680	2048	32	109.60	0.094	decode
256	327680	2048	64	146.80	0.098	decode
512	327680	2048	1	218.50	0.113	prefill
512	327680	2048	2	170.60	0.111	prefill
512	327680	2048	4	167.20	0.144	prefill
512	327680	2048	8	164.80	0.220	prefill
512	327680	2048	16	175.30	0.106	prefill
512	327680	2048	32	197.00	0.152	prefill
512	327680	2048	64	248.20	0.169	prefill
1024	327680	2048	1	294.70	0.056	prefill
1024	327680	2048	2	304.50	0.145	prefill
1024	327680	2048	4	301.80	0.075	prefill
1024	327680	2048	8	293.70	0.092	prefill
1024	327680	2048	16	299.30	0.138	prefill
1024	327680	2048	32	334.60	0.068	prefill
1024	327680	2048	64	440.30	0.082	prefill
2048	327680	2048	1	677.80	0.028	prefill
2048	327680	2048	2	651.80	0.085	prefill
2048	327680	2048	4	642.10	0.063	prefill
2048	327680	2048	8	622.20	0.122	prefill
2048	327680	2048	16	647.00	0.092	prefill
2048	327680	2048	32	730.60	0.079	prefill
2048	327680	2048	64	875.40	0.056	prefill
4096	327680	2048	1	1262.40	0.044	prefill
4096	327680	2048	2	1231.40	0.081	prefill
4096	327680	2048	4	1222.00	0.042	prefill
4096	327680	2048	8	1185.80	0.155	prefill
4096	327680	2048	16	1229.90	0.065	prefill
4096	327680	2048	32	1385.10	0.083	prefill
4096	327680	2048	64	1683.50	0.043	prefill
1	458752	2048	1	111.90	0.050	prefill
1	458752	2048	2	71.80	0.023	decode
1	458752	2048	4	48.80	0.067	decode
1	458752	2048	8	37.40	0.087	decode
1	458752	2048	16	31.40	0.052	decode
1	458752	2048	32	28.60	0.081	decode
1	458752	2048	64	27.60	0.059	decode
2	458752	2048	1	112.60	0.038	prefill
2	458752	2048	2	70.80	0.086	decode
2	458752	2048	4	48.40	0.048	decode
2	458752	2048	8	37.40	0.075	decode
2	458752	2048	16	31.50	0.115	decode
2	458752	2048	32	28.90	0.139	decode
2	458752	2048	64	28.30	0.129	decode
4	458752	2048	1	112.80	0.029	prefill
4	458752	2048	2	72.00	0.001	decode
4	458752	2048	4	48.60	0.048	decode
4	458752	2048	8	37.40	0.087	decode
4	458752	2048	16	31.60	0.112	decode
4	458752	2048	32	29.60	0.226	decode
4	458752	2048	64	29.80	0.123	decode
8	458752	2048	1	114.00	0.021	prefill
8	458752	2048	2	73.10	0.044	decode
8	458752	2048	4	49.40	0.081	decode
8	458752	2048	8	37.90	0.129	decode
8	458752	2048	16	32.80	0.157	decode
8	458752	2048	32	31.50	0.090	decode
8	458752	2048	64	33.30	0.154	decode
16	458752	2048	1	114.80	0.024	prefill
16	458752	2048	2	83.10	0.043	decode
16	458752	2048	4	54.80	0.051	decode
16	458752	2048	8	40.80	0.098	decode
16	458752	2048	16	35.30	0.093	decode
16	458752	2048	32	35.40	0.092	decode
16	458752	2048	64	40.10	0.081	decode
32	458752	2048	1	150.10	0.058	prefill
32	458752	2048	2	89.90	0.025	decode
32	458752	2048	4	59.20	0.061	decode
32	458752	2048	8	43.70	0.053	decode
32	458752	2048	16	38.60	0.058	decode
32	458752	2048	32	42.60	0.094	decode
32	458752	2048	64	54.60	0.052	decode
64	458752	2048	1	150.80	0.053	prefill
64	458752	2048	2	90.50	0.059	decode
64	458752	2048	4	61.60	0.045	decode
64	458752	2048	8	46.30	0.050	decode
64	458752	2048	16	46.20	0.061	decode
64	458752	2048	32	54.40	0.100	decode
64	458752	2048	64	71.80	0.072	decode
128	458752	2048	1	435.20	0.044	prefill
128	458752	2048	2	374.50	0.064	decode
128	458752	2048	4	346.10	0.070	decode
128	458752	2048	8	343.00	0.039	decode
128	458752	2048	16	344.60	0.067	decode
128	458752	2048	32	353.60	0.104	decode
128	458752	2048	64	377.20	0.130	decode
256	458752	2048	1	493.90	0.058	prefill
256	458752	2048	2	435.90	0.072	decode
256	458752	2048	4	402.40	0.052	decode
256	458752	2048	8	403.70	0.095	decode
256	458752	2048	16	399.50	0.105	decode
256	458752	2048	32	413.60	0.054	decode
256	458752	2048	64	446.50	0.079	decode
512	458752	2048	1	583.90	0.058	prefill
512	458752	2048	2	518.00	0.072	prefill
512	458752	2048	4	517.10	0.075	prefill
512	458752	2048	8	508.50	0.084	prefill
512	458752	2048	16	517.00	0.065	prefill
512	458752	2048	32	538.90	0.068	prefill
512	458752	2048	64	590.60	0.087	prefill
1024	458752	2048	1	946.20	0.095	prefill
1024	458752	2048	2	966.90	0.098	prefill
