m	n	topk	coop_g	us	stddev_pct	path
4096	98304	2048	32	730.20	0.046	prefill
4096	98304	2048	64	893.00	0.046	prefill
1	131072	2048	1	48.30	0.058	prefill
1	131072	2048	2	37.00	0.062	decode
1	131072	2048	4	29.60	0.096	decode
1	131072	2048	8	25.20	0.065	decode
1	131072	2048	16	23.40	0.070	decode
1	131072	2048	32	22.70	0.101	decode
1	131072	2048	64	22.60	0.162	decode
2	131072	2048	1	49.10	0.047	prefill
2	131072	2048	2	36.60	0.001	decode
2	131072	2048	4	29.70	0.093	decode
2	131072	2048	8	25.30	0.091	decode
2	131072	2048	16	23.70	0.096	decode
2	131072	2048	32	23.10	0.158	decode
2	131072	2048	64	23.40	0.232	decode
4	131072	2048	1	49.60	0.132	prefill
4	131072	2048	2	38.20	0.135	decode
4	131072	2048	4	30.40	0.246	decode
4	131072	2048	8	26.20	0.139	decode
4	131072	2048	16	24.70	0.209	decode
4	131072	2048	32	24.50	0.116	decode
4	131072	2048	64	25.50	0.169	decode
8	131072	2048	1	50.00	0.108	prefill
8	131072	2048	2	39.00	0.103	decode
8	131072	2048	4	31.10	0.165	decode
8	131072	2048	8	26.50	0.204	decode
8	131072	2048	16	25.60	0.269	decode
8	131072	2048	32	26.10	0.153	decode
8	131072	2048	64	28.60	0.081	decode
16	131072	2048	1	50.10	0.046	prefill
16	131072	2048	2	39.90	0.108	decode
16	131072	2048	4	33.70	0.048	decode
16	131072	2048	8	27.40	0.157	decode
16	131072	2048	16	27.00	0.148	decode
16	131072	2048	32	29.10	0.135	decode
16	131072	2048	64	34.50	0.047	decode
32	131072	2048	1	50.60	0.107	prefill
32	131072	2048	2	40.30	0.070	decode
32	131072	2048	4	35.70	0.079	decode
32	131072	2048	8	28.70	0.080	decode
32	131072	2048	16	28.70	0.080	decode
32	131072	2048	32	32.70	0.084	decode
32	131072	2048	64	45.50	0.081	decode
64	131072	2048	1	57.60	0.049	prefill
64	131072	2048	2	45.80	0.036	decode
64	131072	2048	4	39.80	0.058	decode
64	131072	2048	8	30.40	0.093	decode
64	131072	2048	16	32.00	0.072	decode
64	131072	2048	32	41.20	0.001	decode
64	131072	2048	64	60.00	0.297	decode
128	131072	2048	1	62.60	0.045	prefill
128	131072	2048	2	46.60	0.050	decode
128	131072	2048	4	43.70	0.065	decode
128	131072	2048	8	34.90	0.002	decode
