m	n	g	us	path	stddev_pct
4	458752	2	72.00	decode	0.00
4	458752	4	48.60	decode	0.05
4	458752	8	37.40	decode	0.09
4	458752	16	31.60	decode	0.11
4	458752	32	29.60	decode	0.23
4	458752	64	29.80	decode	0.12
8	458752	1	114.00	prefill	0.02
8	458752	2	73.10	decode	0.04
8	458752	4	49.40	decode	0.08
8	458752	8	37.90	decode	0.13
8	458752	16	32.80	decode	0.16
8	458752	32	31.50	decode	0.09
8	458752	64	33.30	decode	0.15
16	458752	1	114.80	prefill	0.02
16	458752	2	83.10	decode	0.04
16	458752	4	54.80	decode	0.05
16	458752	8	40.80	decode	0.10
16	458752	16	35.30	decode	0.09
16	458752	32	35.40	decode	0.09
16	458752	64	40.10	decode	0.08
32	458752	1	150.10	prefill	0.06
32	458752	2	89.90	decode	0.03
32	458752	4	59.20	decode	0.06
32	458752	8	43.70	decode	0.05
32	458752	16	38.60	decode	0.06
32	458752	32	42.60	decode	0.09
32	458752	64	54.60	decode	0.05
64	458752	1	150.80	prefill	0.05
64	458752	2	90.50	decode	0.06
64	458752	4	61.60	decode	0.04
64	458752	8	46.30	decode	0.05
64	458752	16	46.20	decode	0.06
64	458752	32	54.40	decode	0.10
64	458752	64	71.80	decode	0.07
128	458752	1	435.20	prefill	0.04
128	458752	2	374.50	decode	0.06
128	458752	4	346.10	decode	0.07
128	458752	8	343.00	decode	0.04
128	458752	16	344.60	decode	0.07
128	458752	32	353.60	decode	0.10
128	458752	64	377.20	decode	0.13
256	458752	1	493.90	prefill	0.06
256	458752	2	435.90	decode	0.07
256	458752	4	402.40	decode	0.05
256	458752	8	403.70	decode	0.10
256	458752	16	399.50	decode	0.10
256	458752	32	413.60	decode	0.05
256	458752	64	446.50	decode	0.08
512	458752	1	583.90	prefill	0.06
512	458752	2	518.00	prefill	0.07
512	458752	4	517.10	prefill	0.07
512	458752	8	508.50	prefill	0.08
512	458752	16	517.00	prefill	0.07
512	458752	32	538.90	prefill	0.07
512	458752	64	590.60	prefill	0.09
1024	458752	1	946.20	prefill	0.10
1024	458752	2	966.90	prefill	0.10
1024	458752	4	961.60	prefill	0.09
1024	458752	8	947.60	prefill	0.06
1024	458752	16	951.40	prefill	0.06
1024	458752	32	978.20	prefill	0.06
1024	458752	64	1080.70	prefill	0.04
2048	458752	1	1376.10	prefill	0.05
2048	458752	2	1348.00	prefill	0.06
2048	458752	4	1352.90	prefill	0.05
2048	458752	8	1334.80	prefill	0.07
2048	458752	16	1339.20	prefill	0.08
2048	458752	32	1409.10	prefill	0.06
2048	458752	64	1593.90	prefill	0.04
4096	458752	1	2231.50	prefill	0.05
4096	458752	2	2196.10	prefill	0.05
4096	458752	4	2185.80	prefill	0.05
4096	458752	8	2134.00	prefill	0.05
4096	458752	16	2133.10	prefill	0.06
4096	458752	32	2286.60	prefill	0.08
4096	458752	64	2625.40	prefill	0.03
1	655360	1	146.30	prefill	0.02
1	655360	2	91.50	decode	0.06
1	655360	4	59.70	decode	0.06
1	655360	8	43.20	decode	0.09
1	655360	16	34.70	decode	0.10
1	655360	32	30.90	decode	0.12
1	655360	64	29.20	decode	0.14
2	655360	1	146.90	prefill	0.04
2	655360	2	91.60	decode	0.04
2	655360	4	59.80	decode	0.06
2	655360	8	43.40	decode	0.04
2	655360	16	35.00	decode	0.09
2	655360	32	31.40	decode	0.13
2	655360	64	30.20	decode	0.08
4	655360	1	147.00	prefill	0.04
4	655360	2	91.50	decode	0.06
4	655360	4	59.60	decode	0.05
4	655360	8	43.20	decode	0.08
4	655360	16	35.00	decode	0.15
4	655360	32	32.00	decode	0.14
4	655360	64	31.60	decode	0.09
8	655360	1	148.30	prefill	0.02
8	655360	2	90.60	decode	0.04
8	655360	4	59.40	decode	0.06
8	655360	8	47.80	decode	0.06
8	655360	16	35.90	decode	0.06
8	655360	32	34.20	decode	0.08
8	655360	64	34.90	decode	0.08
16	655360	1	198.90	prefill	0.03
16	655360	2	115.20	decode	0.02
16	655360	4	72.10	decode	0.04
16	655360	8	50.50	decode	0.06
16	655360	16	40.90	decode	0.04
16	655360	32	39.00	decode	0.07
16	655360	64	43.40	decode	0.06
32	655360	1	199.00	prefill	0.07
32	655360	2	115.70	decode	0.03
32	655360	4	72.80	decode	0.04
32	655360	8	51.20	decode	0.06
32	655360	16	42.80	decode	0.04
32	655360	32	46.00	decode	0.09
32	655360	64	57.20	decode	0.03
64	655360	1	199.80	prefill	0.03
64	655360	2	116.80	decode	0.02
64	655360	4	74.40	decode	0.03
64	655360	8	54.60	decode	0.04
64	655360	16	53.20	decode	0.05
64	655360	32	60.30	decode	0.06
64	655360	64	76.90	decode	0.05
128	655360	1	253.90	prefill	0.12
128	655360	2	150.20	decode	0.12
128	655360	4	107.40	decode	0.09
128	655360	8	83.60	decode	0.28
128	655360	16	86.10	decode	0.27
128	655360	32	98.50	decode	0.12
128	655360	64	117.90	decode	0.09
256	655360	1	273.40	prefill	0.07
256	655360	2	202.20	decode	0.10
256	655360	4	157.00	decode	0.17
256	655360	8	153.00	decode	0.22
256	655360	16	154.50	decode	0.18
256	655360	32	169.00	decode	0.10
256	655360	64	199.00	decode	0.10
512	655360	1	342.80	prefill	0.08
512	655360	2	277.90	prefill	0.17
512	655360	4	280.20	prefill	0.17
512	655360	8	270.70	prefill	0.14
512	655360	16	271.80	prefill	0.22
512	655360	32	278.60	prefill	0.12
512	655360	64	323.60	prefill	0.14
1024	655360	1	619.00	prefill	0.05
1024	655360	2	606.60	prefill	0.08
1024	655360	4	591.80	prefill	0.06
1024	655360	8	577.80	prefill	0.06
1024	655360	16	575.20	prefill	0.08
1024	655360	32	605.10	prefill	0.10
1024	655360	64	695.20	prefill	0.07
2048	655360	1	1148.40	prefill	0.07
2048	655360	2	1136.80	prefill	0.06
2048	655360	4	1122.00	prefill	0.04
2048	655360	8	1106.60	prefill	0.10
2048	655360	16	1101.80	prefill	0.09
2048	655360	32	1149.80	prefill	0.07
2048	655360	64	1318.20	prefill	0.05
4096	655360	1	2399.30	prefill	0.04
4096	655360	2	2329.90	prefill	0.07
4096	655360	4	2279.50	prefill	0.06
4096	655360	8	2255.30	prefill	0.06
4096	655360	16	2247.20	prefill	0.06
4096	655360	32	2352.70	prefill	0.08
4096	655360	64	2679.20	prefill	0.06
1	917504	1	186.60	prefill	0.05
1	917504	2	111.40	decode	0.04
1	917504	4	69.60	decode	0.20
1	917504	8	48.40	decode	0.21
1	917504	16	37.40	decode	3.10
1	917504	32	32.40	decode	0.12
1	917504	64	30.00	decode	0.08
2	917504	1	187.00	prefill	0.04
2	917504	2	109.60	decode	0.04
2	917504	4	68.80	decode	0.03
2	917504	8	48.30	decode	0.06
2	917504	16	37.70	decode	0.04
2	917504	32	32.50	decode	0.13
2	917504	64	30.70	decode	0.16
4	917504	1	193.80	prefill	0.10
4	917504	2	113.80	decode	0.03
4	917504	4	72.90	decode	0.07
