m	n	g	us	path	stddev_pct
128	65536	8	29.00	decode	0.31
128	65536	16	34.60	decode	0.07
128	65536	32	47.20	decode	0.06
128	65536	64	47.20	decode	0.06
256	65536	1	42.80	prefill	0.00
256	65536	2	40.30	decode	0.04
256	65536	4	44.90	decode	0.04
256	65536	8	36.80	decode	0.06
256	65536	16	44.60	decode	0.06
256	65536	32	62.90	decode	0.04
256	65536	64	62.80	decode	0.04
512	65536	1	51.20	prefill	0.08
512	65536	2	52.00	prefill	0.03
512	65536	4	65.00	prefill	0.04
512	65536	8	54.20	prefill	0.03
512	65536	16	67.00	prefill	0.04
512	65536	32	96.60	prefill	0.05
512	65536	64	96.60	prefill	0.05
1024	65536	1	77.80	prefill	0.06
1024	65536	2	86.70	prefill	0.08
1024	65536	4	102.80	prefill	0.05
1024	65536	8	94.00	prefill	0.06
1024	65536	16	117.70	prefill	0.06
1024	65536	32	170.40	prefill	0.07
1024	65536	64	170.40	prefill	0.06
2048	65536	1	189.70	prefill	0.16
2048	65536	2	184.10	prefill	0.09
2048	65536	4	195.80	prefill	0.14
2048	65536	8	189.30	prefill	0.12
2048	65536	16	230.30	prefill	0.05
2048	65536	32	327.30	prefill	0.05
2048	65536	64	327.00	prefill	0.10
4096	65536	1	329.50	prefill	0.08
4096	65536	2	319.80	prefill	0.06
4096	65536	4	342.40	prefill	0.09
4096	65536	8	343.10	prefill	0.09
4096	65536	16	425.60	prefill	0.09
4096	65536	32	614.20	prefill	0.08
4096	65536	64	613.70	prefill	0.06
1	98304	1	41.00	prefill	0.08
1	98304	2	33.50	decode	0.08
1	98304	4	27.40	decode	0.08
1	98304	8	23.60	decode	0.07
1	98304	16	22.30	decode	0.10
1	98304	32	21.80	decode	0.11
1	98304	64	21.60	decode	0.11
2	98304	1	41.80	prefill	0.08
2	98304	2	32.60	decode	0.09
2	98304	4	27.20	decode	0.08
2	98304	8	23.80	decode	0.07
2	98304	16	22.60	decode	0.19
2	98304	32	22.30	decode	0.13
2	98304	64	22.30	decode	0.16
4	98304	1	42.10	prefill	0.07
4	98304	2	34.20	decode	0.11
4	98304	4	27.60	decode	0.08
4	98304	8	24.20	decode	0.17
4	98304	16	23.20	decode	0.31
4	98304	32	23.30	decode	0.16
4	98304	64	23.60	decode	0.15
8	98304	1	42.60	prefill	0.12
8	98304	2	34.50	decode	0.10
8	98304	4	28.80	decode	0.11
8	98304	8	24.80	decode	0.21
8	98304	16	24.20	decode	0.22
8	98304	32	25.10	decode	0.09
8	98304	64	26.20	decode	0.14
16	98304	1	42.80	prefill	0.08
16	98304	2	35.80	decode	0.12
16	98304	4	31.80	decode	0.09
16	98304	8	25.50	decode	0.14
16	98304	16	25.90	decode	0.24
16	98304	32	28.00	decode	0.15
16	98304	64	30.60	decode	0.17
32	98304	1	42.90	prefill	0.13
32	98304	2	36.00	decode	0.12
32	98304	4	32.20	decode	0.07
32	98304	8	25.90	decode	0.11
32	98304	16	27.60	decode	0.19
32	98304	32	32.40	decode	0.17
32	98304	64	38.10	decode	0.07
64	98304	1	48.90	prefill	0.07
64	98304	2	40.60	decode	0.07
64	98304	4	37.00	decode	0.06
64	98304	8	27.80	decode	0.06
64	98304	16	30.30	decode	0.07
64	98304	32	39.70	decode	0.09
64	98304	64	49.10	decode	0.09
128	98304	1	52.20	prefill	0.05
128	98304	2	42.30	decode	0.07
128	98304	4	41.20	decode	0.06
128	98304	8	31.90	decode	0.05
128	98304	16	37.70	decode	0.12
128	98304	32	51.00	decode	0.09
128	98304	64	63.60	decode	0.06
256	98304	1	53.50	prefill	0.03
256	98304	2	45.20	decode	0.06
256	98304	4	48.40	decode	0.05
256	98304	8	41.80	decode	0.05
256	98304	16	48.80	decode	0.06
256	98304	32	68.40	decode	0.07
256	98304	64	89.90	decode	0.13
512	98304	1	63.30	prefill	0.04
512	98304	2	61.60	prefill	0.05
512	98304	4	72.60	prefill	0.04
512	98304	8	63.80	prefill	0.06
512	98304	16	74.80	prefill	0.04
512	98304	32	105.70	prefill	0.06
512	98304	64	137.90	prefill	0.09
